name,role,type,demographic,description,units,missing_values
state,Feature,Integer,,,,no
county,Feature,Integer,,,,yes
community,Feature,Integer,,,,yes
communityname,Feature,Categorical,,,,no
fold,Feature,Integer,,,,no
population,Feature,Continuous,,,,no
householdsize,Feature,Continuous,,,,no
racepctblack,Feature,Continuous,Race,,,no
racePctWhite,Feature,Continuous,Race,,,no
racePctAsian,Feature,Continuous,Race,,,no
racePctHisp,Feature,Continuous,Race,,,no
agePct12t21,Feature,Continuous,Age,,,no
agePct12t29,Feature,Continuous,Age,,,no
agePct16t24,Feature,Continuous,Age,,,no
agePct65up,Feature,Continuous,Age,,,no
numbUrban,Feature,Integer,,,,no
pctUrban,Feature,Integer,,,,no
medIncome,Feature,Continuous,Income,,,no
pctWWage,Feature,Continuous,Income,,,no
pctWFarmSelf,Feature,Continuous,,,,no
pctWInvInc,Feature,Continuous,,,,no
pctWSocSec,Feature,Continuous,,,,no
pctWPubAsst,Feature,Continuous,,,,no
pctWRetire,Feature,Continuous,,,,no
medFamInc,Feature,Continuous,,,,no
perCapInc,Feature,Continuous,,,,no
whitePerCap,Feature,Continuous,Race,,,no
blackPerCap,Feature,Continuous,Race,,,no
indianPerCap,Feature,Continuous,Race,,,no
AsianPerCap,Feature,Continuous,Race,,,no
OtherPerCap,Feature,Continuous,Race,,,yes
HispPerCap,Feature,Continuous,Race,,,no
NumUnderPov,Feature,Continuous,,,,no
PctPopUnderPov,Feature,Continuous,,,,no
PctLess9thGrade,Feature,Continuous,,,,no
PctNotHSGrad,Feature,Continuous,,,,no
PctBSorMore,Feature,Continuous,,,,no
PctUnemployed,Feature,Continuous,,,,no
PctEmploy,Feature,Continuous,,,,no
PctEmplManu,Feature,Continuous,,,,no
PctEmplProfServ,Feature,Continuous,,,,no
PctOccupManu,Feature,Continuous,Occupation,,,no
PctOccupMgmtProf,Feature,Continuous,Occupation,,,no
MalePctDivorce,Feature,Continuous,,,,no
MalePctNevMarr,Feature,Continuous,,,,no
FemalePctDiv,Feature,Continuous,,,,no
TotalPctDiv,Feature,Continuous,,,,no
PersPerFam,Feature,Continuous,,,,no
PctFam2Par,Feature,Continuous,,,,no
PctKids2Par,Feature,Continuous,,,,no
PctYoungKids2Par,Feature,Continuous,,,,no
PctTeen2Par,Feature,Continuous,,,,no
PctWorkMomYoungKids,Feature,Continuous,,,,no
PctWorkMom,Feature,Continuous,,,,no
NumIlleg,Feature,Integer,,,,no
PctIlleg,Feature,Continuous,,,,no
NumImmig,Feature,Continuous,,,,no
PctImmigRecent,Feature,Continuous,,,,no
PctImmigRec5,Feature,Continuous,,,,no
PctImmigRec8,Feature,Continuous,,,,no
PctImmigRec10,Feature,Continuous,,,,no
PctRecentImmig,Feature,Continuous,,,,no
PctRecImmig5,Feature,Continuous,,,,no
PctRecImmig8,Feature,Continuous,,,,no
PctRecImmig10,Feature,Continuous,,,,no
PctSpeakEnglOnly,Feature,Continuous,,,,no
PctNotSpeakEnglWell,Feature,Continuous,,,,no
PctLargHouseFam,Feature,Continuous,,,,no
PctLargHouseOccup,Feature,Continuous,,,,no
PersPerOccupHous,Feature,Continuous,,,,no
PersPerOwnOccHous,Feature,Continuous,,,,no
PersPerRentOccHous,Feature,Continuous,,,,no
PctPersOwnOccup,Feature,Continuous,,,,no
PctPersDenseHous,Feature,Continuous,,,,no
PctHousLess3BR,Feature,Continuous,,,,no
MedNumBR,Feature,Continuous,,,,no
HousVacant,Feature,Continuous,,,,no
PctHousOccup,Feature,Continuous,,,,no
PctHousOwnOcc,Feature,Continuous,,,,no
PctVacantBoarded,Feature,Continuous,,,,no
PctVacMore6Mos,Feature,Continuous,,,,no
MedYrHousBuilt,Feature,Continuous,,,,no
PctHousNoPhone,Feature,Continuous,,,,no
PctWOFullPlumb,Feature,Continuous,,,,no
OwnOccLowQuart,Feature,Continuous,,,,no
OwnOccMedVal,Feature,Continuous,,,,no
OwnOccHiQuart,Feature,Continuous,,,,no
RentLowQ,Feature,Continuous,,,,no
RentMedian,Feature,Continuous,,,,no
RentHighQ,Feature,Continuous,,,,no
MedRent,Feature,Continuous,,,,no
MedRentPctHousInc,Feature,Continuous,,,,no
MedOwnCostPctInc,Feature,Continuous,,,,no
MedOwnCostPctIncNoMtg,Feature,Integer,,,,no
NumInShelters,Feature,Integer,,,,no
NumStreet,Feature,Integer,,,,no
PctForeignBorn,Feature,Continuous,,,,no
PctBornSameState,Feature,Continuous,,,,no
PctSameHouse85,Feature,Continuous,,,,no
PctSameCity85,Feature,Continuous,,,,no
PctSameState85,Feature,Continuous,,,,no
LemasSwornFT,Feature,Continuous,,,,yes
LemasSwFTPerPop,Feature,Integer,,,,yes
LemasSwFTFieldOps,Feature,Continuous,,,,yes
LemasSwFTFieldPerPop,Feature,Continuous,,,,yes
LemasTotalReq,Feature,Continuous,,,,yes
LemasTotReqPerPop,Feature,Continuous,,,,yes
PolicReqPerOffic,Feature,Continuous,,,,yes
PolicPerPop,Feature,Integer,,,,yes
RacialMatchCommPol,Feature,Continuous,,,,yes
PctPolicWhite,Feature,Continuous,,,,yes
PctPolicBlack,Feature,Integer,,,,yes
PctPolicHisp,Feature,Integer,,,,yes
PctPolicAsian,Feature,Continuous,,,,yes
PctPolicMinor,Feature,Continuous,,,,yes
OfficAssgnDrugUnits,Feature,Continuous,,,,yes
NumKindsDrugsSeiz,Feature,Continuous,,,,yes
PolicAveOTWorked,Feature,Continuous,,,,yes
LandArea,Feature,Continuous,,,,no
PopDens,Feature,Continuous,,,,no
PctUsePubTrans,Feature,Continuous,,,,no
PolicCars,Feature,Continuous,,,,yes
PolicOperBudg,Feature,Continuous,,,,yes
LemasPctPolicOnPatr,Feature,Continuous,,,,yes
LemasGangUnitDeploy,Feature,Integer,,,,yes
LemasPctOfficDrugUn,Feature,Integer,,,,no
PolicBudgPerPop,Feature,Integer,,,,yes
ViolentCrimesPerPop,Target,Continuous,,,,no
